from_bus,to_bus,from_bus0,to_bus0,g,b,is_diagonal
18,17,17,16,-4.552958682825351,18.693041746559370,0
18,19,17,18,-4.378437724118592,19.290167989190934,0
18,18,17,17,8.931396406943943,-37.971009735750300,1
19,18,18,17,-4.378437724118592,19.290167989190934,0
19,20,18,19,-1.759280203071200,8.168086657116287,0
19,15,18,14,-7.073970147845977,23.226201985427625,0
19,34,18,33,-1.128044444951131,3.705145982751720,0
19,19,18,18,14.339732519986901,-54.332342614486564,1
20,19,19,18,-1.759280203071200,8.168086657116287,0
20,21,19,20,-2.426122578848984,11.255617865807581,0
20,20,19,19,4.185402781920184,-19.398004522923870,1
21,20,20,19,-2.426122578848984,11.255617865807581,0
21,22,20,21,-2.122730379724979,9.851906547048948,0
21,21,20,20,4.548852958573963,-21.084424412856528,1
22,21,21,20,-2.122730379724979,9.851906547048948,0
22,23,21,22,-1.292974385496910,6.011196704503180,0
22,22,21,21,3.415704765221890,-15.830603251552128,1
23,22,22,21,-1.292974385496910,6.011196704503180,0
23,24,22,23,-5.186542650669064,18.902066549105033,0
23,25,22,24,-2.348209339852123,12.042099178728835,0
23,32,22,31,-2.216941348264002,8.063512222550139,0
23,23,22,22,11.044667724282100,-44.871924654887188,1
24,23,23,22,-5.186542650669064,18.902066549105033,0
24,70,23,69,-0.013050888169011,2.430063566311413,0
24,72,23,71,-1.196153484140182,4.804223010071221,0
24,24,23,23,6.395747022978258,-26.036063125487665,1
25,23,24,22,-2.348209339852123,12.042099178728835,0
25,26,24,25,0.000000000000000,27.268760907504365,0
25,27,24,26,-1.152999393768872,5.910028339129753,0
25,25,24,24,3.501208733620995,-43.998737989062775,1
26,25,25,24,0.000000000000000,27.268760907504365,0
26,30,25,29,-1.071068534029302,11.528397237361697,0
26,26,25,25,1.071068534029302,-39.479356516012075,1
27,25,26,24,-1.152999393768872,5.910028339129753,0
27,28,26,27,-2.492116256011807,11.138313637689988,0
27,32,26,31,-3.678915796204130,12.129176533336761,0
27,115,26,114,-2.847335917927279,12.865097043805568,0
27,27,26,26,10.171367363912088,-41.924125553962071,1
28,27,27,26,-2.492116256011807,11.138313637689988,0
28,29,27,28,-2.506827667761773,9.974424011389672,0
28,28,27,27,4.998943923773580,-21.090037649079662,1
29,28,28,27,-2.506827667761773,9.974424011389672,0
29,31,28,30,-8.909053413074863,27.304598886368328,0
29,29,28,28,11.415881080836638,-37.262972897758004,1
30,17,29,16,0.000000000000000,26.847079037800690,0
30,8,29,7,-1.684425369228190,19.697224735290206,0
30,26,29,25,-1.071068534029302,11.528397237361697,0
30,38,29,37,-1.579558551512128,18.382793487425623,0
30,30,29,29,4.335052454769620,-76.652122791119908,1
31,17,30,16,-1.776848118846398,5.859100442525149,0
31,29,30,28,-8.909053413074863,27.304598886368328,0
31,32,30,31,-2.813898391828741,9.300972872319832,0
31,31,30,30,13.499799923750004,-42.428022201213317,1
32,23,31,22,-2.216941348264002,8.063512222550139,0
32,31,31,30,-2.813898391828741,9.300972872319832,0
32,27,31,26,-3.678915796204130,12.129176533336761,0
32,113,31,112,-1.366932459089267,4.511988442197094,0
32,114,31,113,-3.437134804427029,15.581677780069201,0
32,32,31,31,13.513822799813170,-49.472457850473027,1
33,15,32,14,-2.245947837270440,7.352523972537968,0
33,37,32,36,-1.896167685190474,6.488091838483066,0
33,33,32,32,4.142115522460914,-13.806345811021034,1
34,19,33,18,-1.128044444951131,3.705145982751720,0
34,36,33,35,-10.968335259822988,33.748723876378421,0
34,37,33,36,-26.971898653090811,99.037440366817819,0
34,43,33,42,-1.378352851655192,5.610196473686143,0
34,34,33,33,40.446631209520120,-141.901016699634084,1
35,36,34,35,-20.539604759319843,93.528557386188581,0
35,37,34,36,-4.245317607647746,19.181116827281180,0
35,35,34,34,24.784922366967589,-112.701744213469766,1
36,35,35,34,-20.539604759319843,93.528557386188581,0
36,34,35,33,-10.968335259822988,33.748723876378421,0
36,36,35,35,31.507940019142829,-127.273101262566996,1
37,35,36,34,-4.245317607647746,19.181116827281180,0
37,33,36,32,-1.896167685190474,6.488091838483066,0
37,34,36,33,-26.971898653090811,99.037440366817819,0
37,38,36,37,0.000000000000000,28.520499108734402,0
37,39,36,38,-2.616902581929024,8.641485161510174,0
37,40,36,39,-1.868276135623615,5.292923959270950,0
37,37,36,36,37.598562663481673,-165.493414820029841,1
38,37,37,36,0.000000000000000,28.520499108734402,0
38,30,37,29,-1.579558551512128,18.382793487425623,0
38,65,37,64,-0.919093260739995,10.058001721305605,0
38,38,37,37,2.498651812252123,-58.210002811655720,1
39,37,38,36,-2.616902581929024,8.641485161510174,0
39,40,38,39,-4.601368907249908,15.129501026555401,0
39,39,38,38,7.218271489178932,-23.749726188065573,1
40,37,39,36,-1.868276135623615,5.292923959270950,0
40,39,39,38,-4.601368907249908,15.129501026555401,0
40,41,39,40,-5.615932206015632,18.861786098824915,0
40,42,39,41,-1.517668532988782,5.004204352017064,0
40,40,39,39,13.603245781877938,-44.230245436668326,1
41,40,40,39,-5.615932206015632,18.861786098824915,0
41,42,40,41,-2.059680498342208,6.781874811614588,0
41,41,40,40,7.675612704357841,-25.620350910439505,1
42,40,41,39,-1.517668532988782,5.004204352017064,0
42,41,41,40,-2.059680498342208,6.781874811614588,0
42,49,41,48,-1.306637122657133,5.902710358297259,0
42,42,41,41,4.883986153988123,-17.562289521928911,1
43,44,42,43,-0.951221725403565,3.839306108783469,0
43,34,42,33,-1.378352851655192,5.610196473686143,0
43,43,42,42,2.329574577058757,-9.398032582469611,1
44,43,43,42,-0.951221725403565,3.839306108783469,0
44,45,43,44,-2.598677226886564,10.452715095646402,0
44,44,43,43,3.549898952290129,-14.150481204429870,1
45,44,44,43,-2.598677226886564,10.452715095646402,0
45,46,44,45,-2.001264799353191,6.784287669807318,0
45,49,44,48,-1.741585392681675,4.735890102906309,0
45,45,44,44,6.341527418921430,-21.822892868360029,1
46,45,45,44,-2.001264799353191,6.784287669807318,0
46,47,45,46,-2.162408239913503,7.226995959710921,0
46,48,45,47,-1.527978662197477,4.805124245512865,0
46,46,45,45,5.691651701464171,-18.660407875031105,1
47,46,46,45,-2.162408239913503,7.226995959710921,0
47,49,46,48,-4.471957780972405,14.633369702134832,0
47,69,46,68,-1.001231372232675,3.295522218083377,0
47,47,46,46,7.635597393118583,-25.096607879929131,1
48,46,47,45,-1.527978662197477,4.805124245512865,0
48,49,47,48,-6.235499850208662,17.591773320421087,0
48,48,47,47,7.763478512406140,-22.217007565933951,1
49,47,48,46,-4.471957780972405,14.633369702134832,0
49,42,48,41,-1.306637122657133,5.902710358297259,0
49,45,48,44,-1.741585392681675,4.735890102906309,0
49,48,48,47,-6.235499850208662,17.591773320421087,0
49,50,48,49,-4.192885286113383,11.809175038042188,0
49,51,48,50,-2.299942832696669,6.483377944021474,0
49,54,48,53,-1.763792484628329,6.407739349096925,0
49,66,48,65,-4.105085630945960,20.958742749107429,0
49,69,48,68,-0.858924861514716,2.825295991175310,0
49,49,48,48,26.976311242418930,-91.059494555202804,1
50,49,49,48,-4.192885286113383,11.809175038042188,0
50,57,49,56,-2.346214081640330,6.632757108434689,0
50,50,49,49,6.539099367753714,-18.415962146476875,1
51,49,50,48,-2.299942832696669,6.483377944021474,0
51,52,50,51,-5.246115161272816,15.195643915410916,0
51,58,50,57,-4.381548697047694,12.354249071283501,0
51,51,50,50,11.927606691017179,-34.000250930715893,1
52,51,51,50,-5.246115161272816,15.195643915410916,0
52,53,51,52,-1.427438540840603,5.762622257467618,0
52,52,51,51,6.673553702113418,-20.930996172878533,1
53,52,52,51,-1.427438540840603,5.762622257467618,0
53,54,52,53,-1.688528726496226,7.832718807320896,0
53,53,52,52,3.115967267336829,-13.559551064788515,1
54,53,53,52,-1.688528726496226,7.832718807320896,0
54,49,53,48,-1.763792484628329,6.407739349096925,0
54,55,53,54,-3.198274067485475,13.379761927291309,0
54,56,53,55,-27.843871816939203,96.694173037007047,0
54,59,53,58,-0.912743532858223,4.160876582194642,0
54,54,53,53,35.407210628407455,-128.342709702910838,1
55,54,54,53,-3.198274067485475,13.379761927291309,0
55,56,54,55,-19.378582853766357,59.962418256531144,0
55,59,54,58,-0.970799162177584,4.420731361002801,0
55,55,54,54,23.547656083429416,-77.722711544825259,1
56,54,55,53,-27.843871816939203,96.694173037007047,0
56,55,55,54,-19.378582853766357,59.962418256531144,0
56,57,55,56,-3.264164140825367,9.192952070079606,0
56,58,55,57,-3.264164140825367,9.192952070079606,0
56,59,55,58,-2.445018205839051,7.355303936291070,0
56,56,55,55,56.195801158195344,-182.312819369988460,1
57,56,56,55,-3.264164140825367,9.192952070079606,0
57,50,56,49,-2.346214081640330,6.632757108434689,0
57,57,56,56,5.610378222465697,-15.797009178514294,1
58,56,57,55,-3.264164140825367,9.192952070079606,0
58,51,57,50,-4.381548697047694,12.354249071283501,0
58,58,57,57,7.645712837873061,-21.526161141363104,1
59,54,58,53,-0.912743532858223,4.160876582194642,0
59,56,58,55,-2.445018205839051,7.355303936291070,0
59,55,58,54,-0.970799162177584,4.420731361002801,0
59,60,58,59,-1.438954075576410,6.581966591753296,0
59,61,58,60,-1.391254776075847,6.362445622298082,0
59,63,58,62,0.000000000000000,26.986183074265977,0
59,59,58,58,7.158769752527116,-54.636479844835222,1
60,59,59,58,-1.438954075576410,6.581966591753296,0
60,61,59,60,-13.952043023027214,71.345674549570973,0
60,62,59,61,-3.728967712596635,17.007730786721240,0
60,60,59,59,19.119964811200258,-94.901951928045520,1
61,59,60,58,-1.391254776075847,6.362445622298082,0
61,60,60,59,-13.952043023027214,71.345674549570973,0
61,62,60,61,-5.561338868035368,25.376983184239059,0
61,64,60,63,0.000000000000000,37.881657701341013,0
61,61,60,60,20.904636667138430,-140.366956191929006,1
62,60,61,59,-3.728967712596635,17.007730786721240,0
62,61,61,60,-5.561338868035368,25.376983184239059,0
62,66,61,65,-0.966954238589740,4.373361494036581,0
62,67,61,66,-1.797328250656234,8.150674625068968,0
62,62,61,61,12.054589069877977,-54.852110090065850,1
63,59,62,58,0.000000000000000,26.986183074265977,0
63,64,62,63,-4.268430686641598,49.632914960948824,0
63,63,62,62,4.268430686641598,-77.635522329975885,1
64,63,63,62,-4.268430686641598,49.632914960948824,0
64,61,63,60,0.000000000000000,37.881657701341013,0
64,65,63,64,-2.926215529806551,32.851936431285445,0
64,64,63,63,7.194646216448149,-120.645387129636333,1
65,38,64,37,-0.919093260739995,10.058001721305605,0
65,64,64,63,-2.926215529806551,32.851936431285445,0
65,66,64,65,0.000000000000000,28.905911258852434,0
65,68,64,67,-5.350819916217016,62.038491782226288,0
65,65,64,64,9.196128706763563,-134.831843045889457,1
66,49,65,48,-4.105085630945960,20.958742749107429,0
66,62,65,61,-0.966954238589740,4.373361494036581,0
66,65,65,64,0.000000000000000,28.905911258852434,0
66,67,65,66,-2.073304263879800,9.394659945705344,0
66,66,65,65,7.145344133415499,-61.686681215876384,1
67,62,66,61,-1.797328250656234,8.150674625068968,0
67,66,66,65,-2.073304263879800,9.394659945705344,0
67,67,66,66,3.870632514536033,-17.516424570774312,1
68,65,67,64,-5.350819916217016,62.038491782226288,0
68,69,67,68,0.000000000000000,28.905911258852434,0
68,81,67,80,-4.256845920421306,49.136164338577366,0
68,116,67,115,-20.583481150979839,245.185584298436282,0
68,68,67,67,30.191146987618161,-386.634653530311994,1
69,47,68,46,-1.001231372232675,3.295522218083377,0
69,49,68,48,-0.858924861514716,2.825295991175310,0
69,68,68,67,0.000000000000000,28.905911258852434,0
69,70,68,69,-1.761700628339891,7.457865993305538,0
69,75,68,74,-2.450943310588984,7.383088491156937,0
69,77,68,76,-2.769857141704636,9.053578359617095,0
69,69,68,68,8.842657314380901,-56.790618080365284,1
70,69,69,68,-1.761700628339891,7.457865993305538,0
70,24,69,23,-0.013050888169011,2.430063566311413,0
70,71,69,70,-6.591719365544770,26.531296766081557,0
70,74,69,73,-2.098235075583555,6.922605997498862,0
70,75,69,74,-1.971183870926144,6.493853406555753,0
70,70,69,69,12.435889828563372,-49.684465729753128,1
71,70,70,69,-6.591719365544770,26.531296766081557,0
71,72,70,71,-1.296920308608876,5.234207523533579,0
71,73,70,72,-4.054011795769934,21.253133432789259,0
71,71,70,70,11.942651469923579,-52.986137722404393,1
72,24,71,23,-1.196153484140182,4.804223010071221,0
72,71,71,70,-1.296920308608876,5.234207523533579,0
72,72,71,71,2.493073792749057,-9.991810533604799,1
73,71,72,70,-4.054011795769934,21.253133432789259,0
73,73,72,72,4.054011795769934,-21.247243432789258,1
74,70,73,69,-2.098235075583555,6.922605997498862,0
74,75,73,74,-6.834662295446337,22.559942210985469,0
74,74,73,73,8.932897371029892,-29.340538208484332,1
75,70,74,69,-1.971183870926144,6.493853406555753,0
75,69,74,68,-2.450943310588984,7.383088491156937,0
75,74,74,73,-6.834662295446337,22.559942210985469,0
75,77,74,76,-1.379325539646773,4.587806578625457,0
75,118,74,117,-5.745168115505614,19.058109403849659,0
75,75,74,74,18.381283132113854,-59.966750091173274,1
76,77,75,76,-1.859657822960576,6.198859409868584,0
76,118,75,117,-5.080041631560689,16.850869802250088,0
76,76,75,75,6.939699454521264,-23.024549212118671,1
77,76,76,75,-1.859657822960576,6.198859409868584,0
77,69,76,68,-2.769857141704636,9.053578359617095,0
77,75,76,74,-1.379325539646773,4.587806578625457,0
77,78,76,77,-22.394602424334835,73.854539910040415,0
77,80,76,79,-8.909145635585466,27.193943492651080,0
77,82,76,81,-3.650113361742157,10.448143280423020,0
77,77,76,76,40.962701925974436,-131.159491031225656,1
78,77,77,76,-22.394602424334835,73.854539910040415,0
78,79,77,78,-8.733602102206817,39.029284119752084,0
78,78,77,77,31.128204526541651,-112.874264029792499,1
79,78,78,77,-8.733602102206817,39.029284119752084,0
79,80,78,79,-3.000276948641412,13.539711357971504,0
79,79,78,78,11.733879050848229,-52.356405477723584,1
80,77,79,76,-8.909145635585466,27.193943492651080,0
80,79,79,78,-3.000276948641412,13.539711357971504,0
80,81,79,80,0.000000000000000,28.905911258852434,0
80,96,79,95,-1.035143710513338,5.292026834646842,0
80,97,79,96,-2.020213171127511,10.310814764115273,0
80,98,79,97,-1.945964331618486,8.830426378772964,0
80,99,79,98,-1.020289834227623,4.629508939446922,0
80,80,79,79,17.931033631713834,-96.700108794631618,1
81,68,80,67,-4.256845920421306,49.136164338577366,0
81,80,80,79,0.000000000000000,28.905911258852434,0
81,81,80,80,4.256845920421306,-79.647577449649475,1
82,77,81,76,-3.650113361742157,10.448143280423020,0
82,83,81,82,-7.625986228966831,24.954678151038785,0
82,96,81,95,-5.274398978980543,17.255749746047456,0
82,82,81,81,16.550498569689530,-52.371521177509258,1
83,82,82,81,-7.625986228966831,24.954678151038785,0
83,84,82,83,-2.930110992604400,6.188394416380492,0
83,85,82,84,-1.810297646613059,6.230791899970530,0
83,83,82,82,12.366394868184290,-37.224584467389803,1
84,83,83,82,-2.930110992604400,6.188394416380492,0
84,85,83,84,-6.014917792804007,12.766762599958176,0
84,84,83,83,8.945028785408407,-18.936087016338668,1
85,83,84,82,-1.810297646613059,6.230791899970530,0
85,84,84,83,-6.014917792804007,12.766762599958176,0
85,86,84,85,-2.140149198972729,7.521095756389875,0
85,88,84,87,-1.851166234727879,9.440947797112182,0
85,89,84,88,-0.783601162090360,5.672092093792141,0
85,85,84,84,12.600132035208034,-41.557020147222900,1
86,85,85,84,-2.140149198972729,7.521095756389875,0
86,87,85,86,-0.645448153550856,4.733590772505216,0
86,86,85,85,2.785597352523585,-12.263136528895091,1
87,86,86,85,-0.645448153550856,4.733590772505216,0
87,87,86,86,0.645448153550856,-4.755840772505215,1
88,85,87,84,-1.851166234727879,9.440947797112182,0
88,89,87,88,-2.641254881096025,13.529305577988277,0
88,88,87,87,4.492421115823904,-22.946783375100459,1
89,85,88,84,-0.783601162090360,5.672092093792141,0
89,88,88,87,-2.641254881096025,13.529305577988277,0
89,90,88,89,-3.627439317732559,14.433161111104278,0
89,92,88,91,-5.219081784143642,25.026148155673290,0
89,89,88,88,12.271377145062583,-58.500036938557990,1
90,89,89,88,-3.627439317732559,14.433161111104278,0
90,91,89,90,-3.327168029844960,10.950836507678686,0
90,90,89,89,6.954607347577518,-25.293897618782964,1
91,90,90,89,-3.327168029844960,10.950836507678686,0
91,92,90,91,-2.189219874043489,7.195575399956894,0
91,91,90,90,5.516387903888448,-18.119371907635582,1
92,89,91,88,-5.219081784143642,25.026148155673290,0
92,91,91,90,-2.189219874043489,7.195575399956894,0
92,93,91,92,-3.283829811065234,10.793363099935343,0
92,94,91,93,-1.763350968065017,5.792296319215650,0
92,100,91,99,-0.710339072902274,3.233796705342145,0
92,102,91,101,-3.754464149445988,17.062971215774855,0
92,92,91,91,16.920285659665645,-68.977590895898174,1
93,92,92,91,-3.283829811065234,10.793363099935343,0
93,94,92,93,-3.808365767061223,12.501003325061950,0
93,93,92,92,7.092195578126457,-23.274086424997293,1
94,92,93,91,-1.763350968065017,5.792296319215650,0
94,93,93,92,-3.808365767061223,12.501003325061950,0
94,95,93,94,-6.414617552726213,21.090484983963457,0
94,96,93,95,-3.250668864392729,10.501231387201791,0
94,100,93,99,-4.835852685799980,15.757272796426902,0
94,94,93,93,20.072855838045164,-65.565358811869757,1
95,94,94,93,-6.414617552726213,21.090484983963457,0
95,96,94,95,-5.206271883087228,16.653980818998324,0
95,95,94,94,11.620889435813442,-37.731545802961776,1
96,80,95,79,-1.035143710513338,5.292026834646842,0
96,82,95,81,-5.274398978980543,17.255749746047456,0
96,94,95,93,-3.250668864392729,10.501231387201791,0
96,95,95,94,-5.206271883087228,16.653980818998324,0
96,97,95,96,-2.127518280670083,10.883547273948109,0
96,96,95,95,16.894001717643921,-60.503766060842523,1
97,80,96,79,-2.020213171127511,10.310814764115273,0
97,96,96,95,-2.127518280670083,10.883547273948109,0
97,97,96,96,4.147731451797593,-21.169662038063379,1
98,80,97,79,-1.945964331618486,8.830426378772964,0
98,100,97,99,-1.180946952874267,5.324672659055260,0
98,98,97,97,3.126911284492754,-14.116999037828224,1
99,80,98,79,-1.020289834227623,4.629508939446922,0
99,100,98,99,-2.596020300878753,11.725358358969034,0
99,99,98,98,3.616310135106375,-16.316767298415954,1
100,92,99,91,-0.710339072902274,3.233796705342145,0
100,94,99,93,-4.835852685799980,15.757272796426902,0
100,98,99,97,-1.180946952874267,5.324672659055260,0
100,99,99,98,-2.596020300878753,11.725358358969034,0
100,101,99,100,-1.659305619534999,7.559724519325520,0
100,103,99,102,-5.311644119843971,17.428832268238029,0
100,104,99,103,-1.033218549090825,4.673538448215705,0
100,106,99,105,-1.078407343864887,4.081905483389408,0
100,100,99,99,18.405734644789959,-69.595451238962013,1
101,100,100,99,-1.659305619534999,7.559724519325520,0
101,102,100,101,-1.870841939713259,8.517654359670123,0
101,101,100,100,3.530147559248258,-16.046278878995643,1
102,92,101,91,-3.754464149445988,17.062971215774855,0
102,101,101,100,-1.870841939713259,8.517654359670123,0
102,102,101,101,5.625306089159247,-25.558605575444979,1
103,100,102,99,-5.311644119843971,17.428832268238029,0
103,104,102,103,-1.709331482657988,5.810259803712991,0
103,105,102,104,-1.827903719015324,5.552044006354955,0
103,110,102,109,-1.135617843674185,5.271057733183047,0
103,103,102,102,9.984497165191467,-33.971593811489022,1
104,100,103,99,-1.033218549090825,4.673538448215705,0
104,103,103,102,-1.709331482657988,5.810259803712991,0
104,105,103,104,-6.506753276745963,24.743991334104368,0
104,104,103,103,9.249303308494776,-35.175459586033064,1
105,103,104,102,-1.827903719015324,5.552044006354955,0
105,104,104,103,-6.506753276745963,24.743991334104368,0
105,106,104,105,-4.391344033574963,17.157608474039318,0
105,107,104,106,-1.460135544658108,5.041600088159128,0
105,108,104,107,-4.641402735048814,12.501556025821136,0
105,105,104,104,18.827539309043171,-64.731479928478905,1
106,100,105,99,-1.078407343864887,4.081905483389408,0
106,105,105,104,-4.391344033574963,17.157608474039318,0
106,107,105,106,-1.460135544658108,5.041600088159128,0
106,106,105,105,6.929886922097958,-26.219344045587853,1
107,105,106,104,-1.460135544658108,5.041600088159128,0
107,106,106,105,-1.460135544658108,5.041600088159128,0
107,107,106,106,2.920271089316216,-9.976000176318255,1
108,105,107,104,-4.641402735048814,12.501556025821136,0
108,109,107,108,-11.173897774798073,30.648405325160425,0
108,108,107,107,15.815300509846887,-43.136941350981566,1
109,108,108,107,-11.173897774798073,30.648405325160425,0
109,110,108,109,-4.225386364465412,11.581814423462749,0
109,109,108,108,15.399284139263486,-42.216319748623178,1
110,103,109,102,-1.135617843674185,5.271057733183047,0
110,109,109,108,-4.225386364465412,11.581814423462749,0
110,111,109,110,-3.557424101548288,12.208432712131625,0
110,112,109,111,-5.248518409125198,13.599399926478245,0
110,110,109,109,14.166946718813083,-42.526554795255663,1
111,110,110,109,-3.557424101548288,12.208432712131625,0
111,111,110,110,3.557424101548288,-12.198432712131625,1
112,110,111,109,-5.248518409125198,13.599399926478245,0
112,112,111,111,5.248518409125198,-13.568399926478245,1
113,17,112,16,-9.228123560632563,30.423496076127066,0
113,32,112,31,-1.366932459089267,4.511988442197094,0
113,113,112,112,10.595056019721829,-34.905744518324155,1
114,32,113,31,-3.437134804427029,15.581677780069201,0
114,115,113,114,-20.273248126928166,91.670339356544744,0
114,114,113,113,23.710382931355195,-107.242497136613949,1
115,27,114,26,-2.847335917927279,12.865097043805568,0
115,114,114,113,-20.273248126928166,91.670339356544744,0
115,115,114,114,23.120584044855445,-104.524196400350320,1
116,68,115,67,-20.583481150979839,245.185584298436282,0
116,116,115,115,20.583481150979839,-245.267584298436276,1
117,12,116,11,-1.590723711598406,6.769037070631517,0
117,117,116,116,1.590723711598406,-6.751137070631517,1
118,75,117,74,-5.745168115505614,19.058109403849659,0
118,76,117,75,-5.080041631560689,16.850869802250088,0
118,118,117,117,10.825209747066303,-35.896209206099748,1
